Point ID     ,  Hz.(� ' "),  V.(� ' "),Slope Dist.(m),Refl.Ht.(m),Inst.Ht.(m),Easting(m),  Northing(m),  Height(m)
225             ,  256 59 16 ,   73 57 13,      3.169,      0.000,      0.000,       -2.967,       -0.686,      0.876
226             ,  256 59 16 ,   65 59 57,      3.316,      0.000,      0.000,       -2.952,       -0.682,      1.349
227             ,  256 59 15 ,   60 00 18,      3.481,      0.000,      0.000,       -2.937,       -0.679,      1.740
228             ,  256 59 16 ,   53 51 33,      3.716,      0.000,      0.000,       -2.924,       -0.676,      2.192
229             ,  256 59 16 ,   47 54 21,      4.023,      0.000,      0.000,       -2.908,       -0.672,      2.697
230             ,  256 59 15 ,   41 23 08,      4.484,      0.000,      0.000,       -2.888,       -0.667,      3.364
231             ,  266 22 10 ,  100 36 15,      3.084,      0.000,      0.000,       -3.025,       -0.192,     -0.567
232             ,  266 22 16 ,   92 03 49,      3.016,      0.000,      0.000,       -3.008,       -0.191,     -0.109
233             ,  266 22 14 ,   81 51 24,      3.020,      0.000,      0.000,       -2.984,       -0.189,      0.428
234             ,  266 22 13 ,   76 06 17,      3.069,      0.000,      0.000,       -2.973,       -0.189,      0.737
235             ,  266 22 11 ,   66 10 34,      3.236,      0.000,      0.000,       -2.954,       -0.187,      1.307
236             ,  266 22 13 ,   58 36 46,      3.446,      0.000,      0.000,       -2.936,       -0.186,      1.795
237             ,  266 22 10 ,   52 32 28,      3.688,      0.000,      0.000,       -2.922,       -0.185,      2.243
238             ,  265 14 45 ,   47 53 36,      3.941,      0.000,      0.000,       -2.914,       -0.242,      2.642
239             ,  265 14 46 ,   40 41 06,      4.457,      0.000,      0.000,       -2.895,       -0.241,      3.379
240             ,  275 39 35 ,  102 34 22,      3.113,      0.000,      0.000,       -3.023,        0.300,     -0.678
241             ,  275 39 33 ,   92 54 16,      3.021,      0.000,      0.000,       -3.003,        0.298,     -0.153
242             ,  275 39 32 ,   83 31 51,      3.015,      0.000,      0.000,       -2.981,        0.295,      0.340
243             ,  275 39 31 ,   75 29 42,      3.079,      0.000,      0.000,       -2.966,        0.294,      0.771
244             ,  275 39 32 ,   65 19 11,      3.260,      0.000,      0.000,       -2.947,        0.292,      1.361
245             ,  274 45 00 ,   58 27 36,      3.452,      0.000,      0.000,       -2.932,        0.244,      1.806
246             ,  274 45 05 ,   51 14 02,      3.756,      0.000,      0.000,       -2.919,        0.243,      2.352
247             ,  274 45 04 ,   47 13 44,      3.983,      0.000,      0.000,       -2.914,        0.242,      2.705
248             ,  274 45 06 ,   39 49 10,      4.535,      0.000,      0.000,       -2.894,        0.241,      3.483
249             ,  274 45 10 ,   33 53 03,      5.157,      0.000,      0.000,       -2.865,        0.238,      4.281
250             ,  273 39 30 ,   27 45 19,      6.105,      0.000,      0.000,       -2.837,        0.181,      5.403
251             ,  283 28 53 ,  102 56 32,      3.193,      0.000,      0.000,       -3.026,        0.726,     -0.715
252             ,  283 28 48 ,   92 36 58,      3.090,      0.000,      0.000,       -3.002,        0.720,     -0.141
253             ,  283 28 47 ,   83 49 36,      3.086,      0.000,      0.000,       -2.984,        0.715,      0.332
254             ,  283 28 49 ,   77 12 46,      3.132,      0.000,      0.000,       -2.970,        0.712,      0.693
255             ,  283 28 48 ,   66 28 20,      3.309,      0.000,      0.000,       -2.951,        0.707,      1.321
256             ,  283 28 49 ,   55 54 38,      3.641,      0.000,      0.000,       -2.933,        0.703,      2.041
257             ,  283 28 48 ,   48 38 01,      3.999,      0.000,      0.000,       -2.919,        0.700,      2.643
258             ,  283 28 52 ,   41 01 58,      4.539,      0.000,      0.000,       -2.898,        0.695,      3.424
259             ,  283 28 53 ,   34 05 08,      5.277,      0.000,      0.000,       -2.876,        0.689,      4.370
260             ,  283 28 52 ,   29 01 24,      6.015,      0.000,      0.000,       -2.838,        0.680,      5.260
261             ,  289 46 15 ,   29 57 26,      6.015,      0.000,      0.000,       -2.827,        1.016,      5.211
